"SiteName","Watershed","visit","Gradient","LWfreq","Braid","Sinuosity","bfw","bfd","Q","cover","Ucut","D50","Bldr","Cbl","Gvl","Sndf","Planform","Threads","Bedform","Substrate","Confinement","RS_name","Geo_Cond","LONG_DD","LAT_DD","RS","Condition","RScond"
"CBW05583-080335","Lemhi",1027,1,0.98,1,1.09,8.87,0.35,0.66,15.575,7.05,48,2.055,38.59,42.325,14.82,"Sinuous","Single","Pool-Riffle","cobble-gravel","PCV","pcv_lowSin_planControlled_dfp","good",NA,NA,"FC","moderate","FCmoderate"
"JDW00001-Mazama A","John Day",2790,1,NA,1,1.24,4.32,0.3,0.275,21.06,NA,34,6.86,22.64,38.13,27.98,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","PCV","pcv_fanControlled_dfp","",720257,4946012,"FC","moderate","FCmoderate"
"CBW05583-141995","Entiat",3983,2,52.39,1,1.07,13.92,0.55,1.13,32.89,2.49,113,30.17,37.1,23.81,8.49,"Sinuous","Single","Plane-Bed","boulder-cobble-gravel","CV","cv_occ_fpp","intact",687555,5297482,"FC","moderate","FCmoderate"
"CBW05583-189938","John Day",1164,2,17.05653021,1,1.09,6.12,0.22,0.08,11.1,1.9,63,5.42,42.43,37.61,4.8,"Sinuous","Single","Plane-Bed","cobble-gravel","CV","confined valley w/ occasional floodpockets",NA,NA,NA,"FC","moderate","FCmoderate"
"WC503432-000029","Wenatchee",2338,2,21.5,1,1.1,4.49,0.3,0.05,21.84,2.42,24,17.21,21.6,32.21,28.85,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","CV","cv_occ_fpp","poor",680750,5251198,"FC","moderate","FCmoderate"
"CBW05583-502443","Entiat",895,1.5,54.95147306,1,1.105,13.945,0.545,1.685,14.725,3.82,120,26.485,35.295,22.885,10.645,"Sinuous","Single","Pool-Riffle","boulder-cobble-gravel","CV","cv_occ_fpp","intact",690215,5296362,"FC","moderate","FCmoderate"
"MNM00001-000444","Minam",2153,1,4.43,1,1.08,22.65,0.72,2.4,10.63,NA,175,22.12,56.1,15.06,6.32,"Sinuous","Single","Plane-Bed","boulder-cobble","CV","cv_occ_fpp","intact",458174,5012856,"FC","moderate","FCmoderate"
"ORW03446-084462","Upper Grande Ronde",1602,1,15.57,1.13,1.27,20.13,0.57,1.64,5.06,2.5,78,8.25,42.75,42.19,4.83,"Sinuous","Single","Plane-Bed","cobble-gravel ","CV","cv_gravel_bed","moderate",NA,NA,"FC","moderate","FCmoderate"
"CBW05583-010495","Tucannon",2262,1,33.78034744,1.06,1.21,15.225,0.46,1.88,12.23,3.55,70.5,0.84,39.69,50.38,5.13,"Meandering","Single","Pool-Riffle","cobble-gravel","PCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","moderate",NA,NA,"FC","good","FCgood"
"JDW00001-Mazama A","John Day",2790,1,NA,1,1.24,4.32,0.3,0.275,21.06,NA,34,6.86,22.64,38.13,27.98,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","PCV","pcv_fanControlled_dfp","",720257,4946012,"FC","good","FCgood"
"ORW03446-077704","Upper Grande Ronde",664,3,78.56678115,1.185,1.2,5.2,0.22,0.015,32.05,1.81,36.5,6.72,38.99,26.9,8.87,"Wandering","Transitional","Rapid","cobble-gravel","CV","cv_gravel_bed","moderate",NA,NA,"FC","good","FCgood"
"CBW05583-362335","Lemhi",548,2.5,46.9602695,1.1,1.395,4.675,0.305,0.11,33.22,12.39,49,6.695,24.72,52.23,9.805,"Sinuous","Single","Pool-Riffle","cobble-gravel ","CV","cv_occ_fpp","good",NA,NA,"FC","good","FCgood"
"CBW05583-502443","Entiat",895,1.5,54.95147306,1,1.105,13.945,0.545,1.685,14.725,3.82,120,26.485,35.295,22.885,10.645,"Sinuous","Single","Pool-Riffle","boulder-cobble-gravel","CV","cv_occ_fpp","intact",690215,5296362,"FC","good","FCgood"
"ASW00001-NF-F2 P2","Asotin",3949,2,29.48,1,1.17,10.29,0.38,0.57,9.48,4.31,59,8.31,35.47,40.11,10.17,"Sinuous","Single","Plane-Bed","cobble-gravel","UCV","Wandering Gravel Bed",NA,NA,NA,"AF","poor","AFpoor"
"ENT00001-1BC7","Entiat",1783,0.756,0.616617851,1,1.02,30.71,0.75,3.51,4.12,NA,146.5,39.68,26.2,21.95,12.1,"Straight","Single","Plane-Bed","boulder-cobble-gravel","UCV","ucv_lowSin_cobble_bed","moderate",705691,5282743,"AF","poor","AFpoor"
"CBW05583-385561","Methow ",1096,0.604,1.856244019,1,1.165,39.14,0.625,1.16,5.395,0.68,62.5,8.625,34.74,47.13,7.265,"Sinuous","Single","Plane-Bed","cobble-gravel","UCV","ucv_lowSin_wandering_cobble_bed","moderate",692538,5385609,"AF","poor","AFpoor"
"LRB_66576","Region 17",3415,1.893,NA,1,1.052,12.5,NA,0.77,NA,NA,176,NA,NA,NA,NA,"Straight","Single","Plane-Bed","cobble-gravel","PCV","fan controlled partly confined",NA,NA,NA,"AF","poor","AFpoor"
"CBW05583-241618","South Fork Salmon",2060,1,15.025,1,1.08,18.675,0.715,1.45,10.66,0.45,102,29.745,33.37,30.46,5.06,"Sinuous","Single","Plane-Bed","boulder-cobble-sand","PCV","pcv_margin_controlled_cobble_bed","moderate",590019,5013154,"AF","poor","AFpoor"
"CBW05583-315823","Lemhi",1587,1,17.70494503,1,1.09,14.1,0.4,0.75,18.88,2.26,113,16.75,35.5,37.23,6.84,"Sinuous","Single","Plane-Bed","boulder-cobble-gravel","PCV","PCV_LowSin_PlanControlled_DFP","poor",NA,NA,"AF","poor","AFpoor"
"dsgn4-000092","Upper Grande Ronde",2141,1,13.45595049,1,1.06,6.495,0.23,0.00978,20.935,0.53,48,10.87,29.1,37.625,7.135,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_bed","good",NA,NA,"AF","poor","AFpoor"
"dsgn4-000277","Upper Grande Ronde",2028,1,7.41147406,1,1.05,15.87,0.41,0.6,6.35,0.23,68,9.42,34.56,39.36,12.3,"Sinuous","Single","Plane-Bed","cobble-gravel ","PCV","pcv_margin_controlled_dfp","moderate",NA,NA,"AF","poor","AFpoor"
"JDW00001-Upper Owens D","John Day",3637,1,1.049418219,1,1.07,3.695,0.245,0.105,22.52,NA,33.5,4.045,24.495,44.405,22.925,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_planControlled_dfp","",724062,4940246,"AF","poor","AFpoor"
"MNM00001-000393","Minam",2898,0.955,6.42,1,1.02,30.12,0.99,2.18,2.03,NA,82,14.85,33.77,27.91,21.42,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_marginControlled_dfp","",446727,5029642,"AF","poor","AFpoor"
"ENT00001-1F18","Entiat",1793,0.9165,23.84810611,1,1.03,32.875,0.785,4.47,3.665,0.6,171,38.585,32.085,12.135,9.175,"Sinuous","Single","Plane-Bed","boulder-cobble","PCV","pcv_marginControlled_dfp","moderate",698169,5289815,"AF","poor","AFpoor"
"CBW05583-339839","Tucannon",1486,0.805,5.606050639,1,1.02,12.7,0.475,1.985,11.79,NA,56.5,8.38,33.245,47.26,7.605,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_lowSin_marginControlled_dfp","poor",NA,NA,"AF","poor","AFpoor"
"CBW05583-207602","John Day",665,0.6935,2.47,1,1.005,5.62,0.33,0.275,11.87,NA,59,7.74,36.005,42.445,10.245,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_dfp","poor",379895,4938931,"AF","poor","AFpoor"
"CBW05583-019570","John Day",3528,0.683,0,1,1.06,11.48,0.54,0.45,5.94,NA,79,3.25,36.35,25.13,34.27,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_margin_controlled_dfp","good",296771,4915623,"AF","poor","AFpoor"
"OJD03458-000052","John Day",738,0.6315,1.55679705,1,1.085,13.345,0.475,0.24,5.935,1.22,44.5,7.315,37.385,33.88,20.415,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_lowSin_marginControlled_cobble_bed","poor",379141,4967126,"AF","poor","AFpoor"
"LEM00002-000004","Lemhi",294,0.607,11.50306748,1,1.03,21.08,0.54,5.87,16.25,NA,78,1.58,40.34,58.67,0,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_Bed","moderate",NA,NA,"AF","poor","AFpoor"
"CBW05583-036697","Methow ",1521,0.528,6.562002723,1,1.05,33.94,0.76,5.53,2.54,0.29,86,10.72,52.12,25.52,8.72,"Sinuous","Single","Plane-Bed","cobble-gravel","PCV","Low To Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",710714,5395006,"AF","poor","AFpoor"
"MNM00001-000229","Minam",2668,0.385,4.28,1,1.1,30.1,0.77,1.9,6.2,0.53,62,7.93,28.19,45.97,15.27,"Sinuous","Single","Plane-Bed","cobble-gravel","PCV","pcv_planControlled_dfp","",449234,5024359,"AF","poor","AFpoor"
"CBW05583-420019","Tucannon",1494,0.366,4.147921253,1,1.01,13.48,0.55,1.8,8.65,1.03,47,0.66,7.96,75.72,14.24,"Straight","Single","Plane-Bed","gravel","PCV","pcv_marginControlled_dfp","poor",NA,NA,"AF","poor","AFpoor"
"ASW00001-NF-F2 P2","Asotin",3949,2,29.48,1,1.17,10.29,0.38,0.57,9.48,4.31,59,8.31,35.47,40.11,10.17,"Sinuous","Single","Plane-Bed","cobble-gravel","UCV","Wandering Gravel Bed",NA,NA,NA,"AF","moderate","AFmoderate"
"CBW05583-038111","Lemhi",3501,0.6635,11.84490313,1.39,1.185,18.555,0.52,0.805,11.225,3.565,48,2.605,28.505,36.11,25.145,"Wandering","Transitional","Plane-Bed","cobble-gravel-sand","UCV","UCV_LowSin_Sand_Bed","moderate",NA,NA,"AF","moderate","AFmoderate"
"LRB_66576","Region 17",3415,1.893,NA,1,1.052,12.5,NA,0.77,NA,NA,176,NA,NA,NA,NA,"Straight","Single","Plane-Bed","cobble-gravel","PCV","fan controlled partly confined",NA,NA,NA,"AF","moderate","AFmoderate"
"CBW05583-214911","Tucannon",4179,1,12.77880714,1.19,1.07,15.26,0.405,1.425,15.05,2.97,70.5,15.93,37.04,28.59,7.33,"Wandering","Transitional","Plane-Bed","cobble-gravel","PCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","good",NA,NA,"AF","moderate","AFmoderate"
"CBW05583-241618","South Fork Salmon",2060,1,15.025,1,1.08,18.675,0.715,1.45,10.66,0.45,102,29.745,33.37,30.46,5.06,"Sinuous","Single","Plane-Bed","boulder-cobble-sand","PCV","pcv_margin_controlled_cobble_bed","moderate",590019,5013154,"AF","moderate","AFmoderate"
"CBW05583-248063","Tucannon",2265,1,23.29138566,1,1.08,16.72,0.46,1.75,12.95,1.11,63,8.31,41.58,61.14,6.19,"Wandering","Transitional","Plane-Bed","cobble-gravel ","PCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","moderate",NA,NA,"AF","moderate","AFmoderate"
"CBW05583-315823","Lemhi",1587,1,17.70494503,1,1.09,14.1,0.4,0.75,18.88,2.26,113,16.75,35.5,37.23,6.84,"Sinuous","Single","Plane-Bed","boulder-cobble-gravel","PCV","PCV_LowSin_PlanControlled_DFP","poor",NA,NA,"AF","moderate","AFmoderate"
