X,Watershed,SiteName,Visit,Gradient,LWfreq,Braid,Sinuosity,D50,Bldr,Cbl,Gvl,Sndf,bfw,bfd,Planform,Threads,Bedform,Substrate,Confinement,RS_name,Geo_Cond,LONG_DD,LAT_DD,RS
39,South Fork Salmon,CBW05583-241618,2060,1,15.025,1,1.08,102,29.745,33.37,30.46,5.06,18.675,0.715,Sinuous,Single,Plane-Bed,boulder-cobble-sand,PCV,pcv_margin_controlled_cobble_bed,moderate,590019,5013154,AFpoor
43,Lemhi,CBW05583-315823,1587,1,17.70494503,1,1.09,113,16.75,35.5,37.23,6.84,14.1,0.4,Sinuous,Single,Plane-Bed,boulder-cobble-gravel,PCV,PCV_LowSin_PlanControlled_DFP,poor,NA,NA,AFpoor
45,Tucannon,CBW05583-339839,1486,0.805,5.606050639,1,1.02,56.5,8.38,33.245,47.26,7.605,12.7,0.475,Straight,Single,Plane-Bed,cobble-gravel,PCV,pcv_lowSin_marginControlled_dfp,poor,NA,NA,AFpoor
49,Methow ,CBW05583-385561,1096,0.604,1.856244019,1,1.165,62.5,8.625,34.74,47.13,7.265,39.14,0.625,Sinuous,Single,Plane-Bed,cobble-gravel,UCV,ucv_lowSin_wandering_cobble_bed,moderate,692538,5385609,AFpoor
50,South Fork Salmon,CBW05583-404767,2065,2,23.80672412,1,1.02,134,30.56,32.495,21.705,5.81,14.135,0.55,Straight,Single,Plane-Bed,boulder-cobble-gravel,PCV,pcv_margin_controlled_boulder_bed,good,594981,4991428,AFpoor
53,Tucannon,CBW05583-420019,1494,0.366,4.147921253,1,1.01,47,0.66,7.96,75.72,14.24,13.48,0.55,Straight,Single,Plane-Bed,gravel,PCV,pcv_marginControlled_dfp,poor,NA,NA,AFpoor
65,Upper Grande Ronde,dsgn4-000092,2141,1,13.45595049,1,1.06,48,10.87,29.1,37.625,7.135,6.495,0.23,Straight,Single,Plane-Bed,cobble-gravel,PCV,pcv_marginControlled_gravel_bed,good,NA,NA,AFpoor
70,Upper Grande Ronde,dsgn4-000277,2028,1,7.41147406,1,1.05,68,9.42,34.56,39.36,12.3,15.87,0.41,Sinuous,Single,Plane-Bed,cobble-gravel ,PCV,pcv_margin_controlled_dfp,moderate,NA,NA,AFpoor
73,Entiat,ENT00001-1BC7,1783,0.756,0.616617851,1,1.02,146.5,39.68,26.2,21.95,12.1,30.71,0.75,Straight,Single,Plane-Bed,boulder-cobble-gravel,UCV,ucv_lowSin_cobble_bed,moderate,705691,5282743,AFpoor
74,Entiat,ENT00001-1F18,1793,0.9165,23.84810611,1,1.03,171,38.585,32.085,12.135,9.175,32.875,0.785,Sinuous,Single,Plane-Bed,boulder-cobble,PCV,pcv_marginControlled_dfp,moderate,698169,5289815,AFpoor
86,John Day,JDW00001-Upper Owens D,3637,1,1.049418219,1,1.07,33.5,4.045,24.495,44.405,22.925,3.695,0.245,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,pcv_planControlled_dfp,,724062,4940246,AFpoor
87,Lemhi,LEM00002-000004,294,0.607,11.50306748,1,1.03,78,1.58,40.34,58.67,0,21.08,0.54,Straight,Single,Plane-Bed,cobble-gravel,PCV,pcv_marginControlled_gravel_Bed,moderate,NA,NA,AFpoor
91,Minam,MNM00001-000229,2668,0.385,4.28,1,1.1,62,7.93,28.19,45.97,15.27,30.1,0.77,Sinuous,Single,Plane-Bed,cobble-gravel,PCV,pcv_planControlled_dfp,,449234,5024359,AFpoor
92,Minam,MNM00001-000393,2898,0.955,6.42,1,1.02,82,14.85,33.77,27.91,21.42,30.12,0.99,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,pcv_marginControlled_dfp,,446727,5029642,AFpoor
96,John Day,OJD03458-000052,738,0.6315,1.55679705,1,1.085,44.5,7.315,37.385,33.88,20.415,13.345,0.475,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,pcv_lowSin_marginControlled_cobble_bed,poor,379141,4967126,AFpoor
1,Asotin,ASW00001-NF-F2 P2,3949,2,29.48,1,1.17,59,8.31,35.47,40.11,10.17,10.29,0.38,Sinuous,Single,Plane-Bed,cobble-gravel,PCV,Wandering Gravel Bed,NA,NA,NA,AFmod
5,John Day,CBW05583-019570,3528,0.683,NA,1,1.06,79,3.25,36.35,25.13,34.27,11.48,0.54,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,pcv_margin_controlled_dfp,good,296771,4915623,AFmod
