visit.dir,visit.id,nrei.locs.csv,nrei.locs.shp,all.nrei.pts.csv,all.nrei.pts.shp,suit.nrei.pts.shp,suit.nrei.poly,suit.nrei.raster,ch.redd.locs.csv,ch.redd.locs.shp,ch.suit.poly,ch.raster,ch.juv.locs.csv,ch.juv.locs.shp,ch.juv.suit.poly,ch.juv.raster,st.redd.locs.csv,st.redd.locs.shp,st.suit.poly,st.raster,delft.raster,delft.poly,gut.run,gut.t2,gut.t2.trans,gut.t3
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_1846,1846,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_1954,1954,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_1967,1967,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_197,197,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_1971,1971,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2014,2014,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2019,2019,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2021,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2026,2026,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_2027,2027,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
