visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
3615,UnitForm,Mound,32,3.318,2.045,4.116,106.17,20.756,15.7,19.17,664.2,0.109,6.256
3615,UnitForm,Mound Transition,75,0.838,0.32,1.813,62.85,9.104,4.6,13.329,682.798,0.064,10.864
3615,UnitForm,Plane,29,6.432,2.61,13.065,186.519,40.407,25.2,62.205,1171.794,0.191,6.282
3615,UnitForm,Saddle,6,9.538,10.81,2.959,57.23,21.6,23.9,6.402,129.6,0.059,2.265
3615,UnitForm,Trough,21,9.271,2.47,14.717,194.69,48.705,24.2,57.553,1022.799,0.199,5.253
3615,UnitForm,Wall,25,7.194,4.26,8.53,179.85,44.567,28.799,50.132,1114.186,0.184,6.195
3620,UnitShape,Concavity,104,7.622,2.95,15.732,792.69,30.612,14,73.972,3183.599,0.343,4.016
3620,UnitShape,Convexity,173,5.325,1.54,10.42,921.24,22.109,12.8,30.966,3824.799,0.399,4.152
3620,UnitShape,Planar,87,6.844,2.38,17.901,595.43,36.097,18.2,71.312,3140.399,0.258,5.274
3620,UnitForm,Bowl,40,6.444,4.095,6.919,257.74,15.6,12.3,12.129,624,0.112,2.421
3620,UnitForm,Bowl Transition,26,4.386,3.13,4.407,114.03,21.846,18.8,18.293,568,0.049,4.981
3620,UnitForm,Mound,57,10.656,4.43,14.733,607.4,33.604,20,41.055,1915.4,0.263,3.154
3620,UnitForm,Mound Transition,106,1.882,0.755,3.996,199.46,15.894,9.2,23.067,1684.8,0.086,8.445
3620,UnitForm,Plane,51,7.98,2.21,22.998,406.99,42.812,18.2,90.552,2183.4,0.176,5.365
3620,UnitForm,Saddle,10,11.438,7.17,13.301,114.38,22.46,17.2,18.401,224.6,0.05,1.964
3620,UnitForm,Trough,38,11.077,2.4,24.582,420.92,52.411,15.2,118.598,1991.6,0.182,4.732
3620,UnitForm,Wall,36,5.234,3.33,5.217,188.44,26.583,18.6,24.963,957,0.082,5.079
3637,UnitShape,Concavity,88,4.759,1.255,11.359,418.78,24.493,9.1,49.442,2155.405,0.394,5.147
3637,UnitShape,Convexity,79,3.645,1.18,5.662,287.917,25.873,12.8,29.296,2043.999,0.271,7.098
3637,UnitShape,Planar,39,9.141,3.46,18.933,356.491,58.978,26,107.085,2300.156,0.335,6.452
3637,UnitForm,Bowl,29,2.178,1.21,2.238,63.16,8.869,7,6.03,257.201,0.059,4.072
3637,UnitForm,Bowl Transition,39,3.417,1.03,4.985,133.28,16.451,7.4,18.905,641.602,0.125,4.814
