visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
2556,GU,Chute,1,24.91,24.91,NaN,24.91,59.6,59.6,NaN,59.6,0.002,2.393
2556,GU,Glide-Run,12,181.128,107.58,165.219,2173.54,233.633,179.3,206.364,2803.6,0.19,1.29
2556,GU,Margin Attached Bar,19,139.221,85.17,146.815,2645.196,110.327,101.2,89.702,2096.219,0.231,0.792
2556,GU,Mid Channel Bar,4,81.47,90.945,49.119,325.88,54.7,53.5,13.097,218.8,0.028,0.671
2556,GU,Pond,1,27.24,27.24,NaN,27.24,29,29,NaN,29,0.002,1.065
2556,GU,Pool,18,84.885,54.305,81.029,1527.932,58.333,47.1,45.982,1050.001,0.133,0.687
2556,GU,Rapid,1,54.35,54.35,NaN,54.35,129.4,129.4,NaN,129.4,0.005,2.381
2556,GU,Riffle,11,74.163,72.35,45.646,815.789,72.891,69.6,32.601,801.798,0.071,0.983
2556,GU,Transition,5,596.322,341.742,626.053,2981.611,807.641,527.4,643.024,4038.205,0.26,1.354
2563,GU,Bank,3,33.457,27.08,21.574,100.37,137.666,129.8,62.77,412.999,0.072,4.115
2563,GU,Glide-Run,2,159.534,159.534,221.868,319.069,241.6,241.6,330.644,483.201,0.227,1.514
2563,GU,Margin Attached Bar,5,84.82,62.89,89.288,424.1,78.44,46.6,64.647,392.2,0.302,0.925
2563,GU,Mid Channel Bar,1,2.44,2.44,NaN,2.44,9.4,9.4,NaN,9.4,0.002,3.852
2563,GU,Pocket Pool,1,1.84,1.84,NaN,1.84,8.8,8.8,NaN,8.8,0.001,4.783
2563,GU,Pool,4,39.053,46.175,25.486,156.21,49.8,53.9,27.218,199.2,0.111,1.275
2563,GU,Riffle,2,45.65,45.65,36.417,91.301,49.892,49.892,33.789,99.785,0.065,1.093
2563,GU,Transition,5,61.502,54.399,33.135,307.51,154.397,168.8,88.226,771.986,0.219,2.51
2668,GU,Bank,17,126.006,21.48,197.666,2142.1,172.247,51.4,236.455,2928.2,0.127,1.367
2668,GU,Glide-Run,1,7708.732,7708.732,NaN,7708.732,2842.823,2842.823,NaN,2842.823,0.457,0.369
2668,GU,Margin Attached Bar,15,186.926,120.81,210.52,2803.89,153.253,101.6,143.629,2298.8,0.166,0.82
2668,GU,Pocket Pool,2,4.445,4.445,1.039,8.89,11.1,11.1,0.99,22.2,0.001,2.497
2668,GU,Pond,1,11.41,11.41,NaN,11.41,15.6,15.6,NaN,15.6,0.001,1.367
2668,GU,Pool,12,185.478,154.215,191.716,2225.74,81.85,73.3,61.377,982.2,0.132,0.441
2668,GU,Riffle,2,143.9,143.9,58.647,287.8,119.6,119.6,72.125,239.2,0.017,0.831
2668,GU,Transition,10,167.824,56.25,240.072,1678.238,329.922,146.7,426.324,3299.223,0.099,1.966
2696,GU,Bank,13,46.186,27.22,36.923,600.416,139.705,120.191,93.862,1816.161,0.124,3.025
2696,GU,Cascade,1,12.67,12.67,NaN,12.67,60.6,60.6,NaN,60.6,0.003,4.783
2696,GU,Glide-Run,4,299.075,227.93,293.974,1196.3,357.6,349.5,279.991,1430.399,0.247,1.196
2696,GU,Margin Attached Bar,14,63.859,47.905,64.212,894.022,80.629,72.9,61.988,1128.801,0.185,1.263
2696,GU,Mid Channel Bar,3,11.037,8.88,8.6,33.11,17.667,18,8.305,53,0.007,1.601
2696,GU,Pocket Pool,4,2.643,2.58,0.679,10.57,10.35,9.4,3.527,41.4,0.002,3.916
2696,GU,Pond,1,7.87,7.87,NaN,7.87,32,32,NaN,32,0.002,4.066
2696,GU,Pool,14,29.931,15.66,34.69,419.04,31.371,21.9,20.752,439.2,0.086,1.048
2696,GU,Riffle,2,151.47,151.47,76.905,302.94,117.9,117.9,24.183,235.8,0.063,0.778
2696,GU,Transition,4,342.088,276.769,264.313,1368.351,513.694,410.088,352.554,2054.776,0.282,1.502
2769,GU,Bank,20,5.264,3.98,5.049,105.28,33.9,28.1,30.71,677.999,0.132,6.44
2769,GU,Glide-Run,3,99.173,131.32,63.453,297.52,257.8,321.2,167.552,773.4,0.373,2.599
2769,GU,Margin Attached Bar,15,8.997,5.24,9.241,134.96,42.853,24.8,39.631,642.799,0.169,4.763
2769,GU,Pocket Pool,8,0.82,0.84,0.149,6.56,4.85,4.8,0.731,38.8,0.008,5.915
2769,GU,Pool,16,4.946,4.23,4.159,79.13,16,13.4,10.322,256,0.099,3.235
2769,GU,Riffle,4,15.588,18.175,11.058,62.35,28.5,29.8,19.153,113.999,0.078,1.828
2769,GU,Transition,10,11.225,10.06,7.349,112.25,60.52,49.5,35.204,605.2,0.141,5.392
2771,GU,Bank,15,5.747,2.33,6.094,86.21,29.8,15.6,24.983,447,0.153,5.185
2771,GU,Glide-Run,4,31.817,36.03,14.976,127.27,104.35,115,53.017,417.4,0.226,3.28
2771,GU,Margin Attached Bar,10,8.652,5.075,10.548,86.52,45.44,24.5,50.33,454.4,0.154,5.252
2771,GU,Mid Channel Bar,1,0.005,0.005,NaN,0.005,0.298,0.298,NaN,0.298,0,59.6
2771,GU,Pocket Pool,1,0.44,0.44,NaN,0.44,3.4,3.4,NaN,3.4,0.001,7.727
2771,GU,Pool,10,8.092,5.7,7.728,80.92,19.86,16.2,14.216,198.6,0.144,2.454
2771,GU,Riffle,2,12.365,12.365,13.244,24.73,28.3,28.3,24.749,56.6,0.044,2.289
2771,GU,Transition,5,31.457,25.27,28.894,157.285,144.12,121.2,114.62,720.598,0.279,4.581
2785,GU,Bank,15,8.189,3.21,8.307,122.83,41.227,22.8,38.015,618.4,0.075,5.034
2785,GU,Chute,2,13.73,13.73,8.796,27.46,70.5,70.5,20.789,141,0.017,5.135
2785,GU,Glide-Run,6,50.201,46.325,37.335,301.206,159.711,174.1,119.796,958.263,0.184,3.181
2785,GU,Margin Attached Bar,14,19.343,9.01,22.193,270.8,43.714,31.3,38.202,612,0.165,2.26
2785,GU,Mid Channel Bar,9,24.489,29.04,15.919,220.4,56.733,58,38.013,510.6,0.134,2.317
