"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"636","Pool",18.5,27.6,39.6285714285714,41.2857142857143,56.244250499813,42.1411686505974,277.4,289,7,11.61,1.04,3528
"637","Riffle",123.9,123.6,123.9,123.6,0,0,123.9,123.6,1,5.19,1,3528
"638","Transition",59.2,77,133.62,224.8,157.520116175681,225.2506159814,668.1,1124,5,27.97,1.68,3528
"639","Bank",4.35,29,7.69166666666667,46.4083333333333,9.11524841258802,52.4962766105465,184.6,1113.8,24,18.91,6.03,3615
"640","Glide-Run",36.2,96.3,69.8333333333333,143.2,60.5003360872208,98.1923214920596,419,859.2,6,42.92,2.05,3615
"641","Margin Attached Bar",2.85,16.3,4.225,23.95,4.41669264416752,21.0589441908844,101.4,574.8,24,10.39,5.67,3615
"642","Pocket Pool",0.6,4.5,0.608333333333333,4.43333333333333,0.131137217055151,0.839191530130294,7.3,53.2,12,0.75,7.29,3615
"643","Pool",1.8,8.6,3.108,10.816,2.86791445711572,5.98607272480603,77.7,270.4,25,7.96,3.48,3615
"644","Rapid",5.3,21.2,5.3,21.2,0,0,5.3,21.2,1,0.54,4,3615
"645","Riffle",11.05,23,9.85,21.6666666666667,3.18103756658107,6.86634303444466,59.1,130,6,6.05,2.2,3615
"646","Transition",7.8,53.8,8.67857142857143,53.3571428571429,4.34496677360556,23.8058723940031,121.5,747,14,12.44,6.15,3615
"647","Bank",4.85,22.9,5.62666666666667,28.2266666666667,5.38375162959765,25.5055225031937,168.8,846.8,30,7.31,5.02,3620
"648","Glide-Run",20.4,54.6,35.8666666666667,105.56,47.5710696397156,129.674894585322,538,1583.4,15,23.3,2.94,3620
"649","Margin Attached Bar",4,21.8,12.1046511627907,34.6255813953488,16.7234217489861,39.4063150185907,520.5,1488.9,43,22.54,2.86,3620
"650","Mid Channel Bar",2,8.6,8.376,25.052,15.1773757064037,48.068129774311,209.4,626.3,25,9.07,2.99,3620
"651","Pocket Pool",0.9,5.4,0.916666666666667,5.53333333333333,0.258785040080946,1.25722156384866,11,66.4,12,0.48,6.04,3620
"652","Pool",7.1,17.2,8.94285714285714,20.0428571428571,7.06737043515655,12.088973505773,250.4,561.2,28,10.85,2.24,3620
"653","Rapid",4.1,12.8,4.1,12.8,0,0,4.1,12.8,1,0.18,3.12,3620
"654","Riffle",7.15,17.2,11.52,22.47,13.3811476006773,18.4963690130433,115.2,224.7,10,4.99,1.95,3620
"655","Transition",8.2,43.8,23.3761904761905,86.1571428571429,64.5363533581028,164.999989610389,490.9,1809.3,21,21.26,3.69,3620
"656","Bank",3.4,22.7,5.20769230769231,32.0615384615385,5.07187721278211,29.5128863640692,135.4,833.6,26,12.74,6.16,3637
"657","Glide-Run",52.9,98.8,61.7857142857143,135.471428571429,53.2198092371449,74.4407754367124,432.5,948.3,7,40.68,2.19,3637
"658","Margin Attached Bar",5.6,30.5,8.91363636363636,45.9636363636364,8.41027124043347,39.7017877185896,196.1,1011.2,22,18.45,5.16,3637
"659","Pocket Pool",0.6,3.8,0.566666666666667,4,0.122474487139159,1.20415945787923,5.1,36,9,0.48,7.06,3637
"660","Pool",1.9,9.1,2.905,11.06,2.36587026382749,6.05695772167061,58.1,221.2,20,5.47,3.81,3637
"661","Rapid",6.8,18,6.8,18,4.10121933088198,10.4651803615609,13.6,36,2,1.28,2.65,3637
"662","Riffle",2.35,9.9,2.9,10.85,1.92006944318862,3.64554522671164,11.6,43.4,4,1.09,3.74,3637
"663","Transition",9.1,65.8,19.1454545454545,107.1,22.2456900830864,96.2244771354981,210.6,1178.1,11,19.81,5.59,3637
"664","Bank",28.8,94,37.2444444444444,133.866666666667,32.0507175696899,114.309281183576,670.4,2409.6,18,7.55,3.59,3701
"665","Chute",50.75,101.9,50.75,101.9,15.0613744392735,0.707106781186548,101.5,203.8,2,1.14,2.01,3701
"666","Glide-Run",70.3,131.6,266.190909090909,201.818181818182,467.253576668056,243.044266824716,2928.1,2220,11,32.97,0.76,3701
"667","Margin Attached Bar",38.5,71.5,54.9111111111111,79.3666666666667,64.1624948987645,52.1116561421948,988.4,1428.6,18,11.13,1.45,3701
"668","Mid Channel Bar",21.6,24.6,109.566666666667,124.777777777778,176.240801178388,174.757959602544,986.1,1123,9,11.1,1.14,3701
"669","NA",2.65,12,2.65,12,1.76776695296637,7.35391052434009,5.3,24,2,0.06,4.53,3701
"670","Pocket Pool",2.5,7.8,2.4625,7.675,0.611642986436649,0.70862039001348,19.7,61.4,8,0.22,3.12,3701
"671","Pond",13.5,23.3,13.5,23.3,2.54558441227157,5.79827560572969,27,46.6,2,0.3,1.73,3701
"672","Pool",19.9,31.4,43.9565217391304,39.6260869565217,44.3316511810996,25.4134756198951,1011,911.4,23,11.38,0.9,3701
"673","Riffle",164.9,93.1,153.133333333333,87.6,107.249963480957,46.3729231340876,918.8,525.6,6,10.34,0.57,3701
"674","Transition",47.5,142.2,87.5785714285714,188.928571428571,110.702089331763,186.057900121984,1226.1,2645,14,13.8,2.16,3701
"675","Bank",5.7,23.2,6.34210526315789,29.6631578947368,4.00767538459692,19.9198452282674,120.5,563.6,19,9.71,4.68,372
"676","Glide-Run",43.6,61.6,48.2285714285714,101.442857142857,37.5621136379781,68.9185958732682,337.6,710.1,7,27.21,2.1,372
"677","Margin Attached Bar",8.7,34.2,19.7421052631579,45.4684210526316,28.5591844691661,40.1095728755282,375.1,863.9,19,30.23,2.3,372
"678","Mid Channel Bar",7.7,12.5,7.7,12.5,9.33380951166243,10.3237590053236,15.4,25,2,1.24,1.62,372
"679","Pocket Pool",1,4.8,0.933333333333333,5.2,0.233809038890002,1.25857061780418,5.6,31.2,6,0.45,5.57,372
"680","Pond",4.7,11.4,4.7,11.4,0,0,4.7,11.4,1,0.38,2.43,372
"681","Pool",3.8,12.7,5.75,14.95,4.43037039288837,6.40631790429644,69,179.4,12,5.56,2.6,372
"682","Rapid",8.4,19.2,8.4,19.2,0,0,8.4,19.2,1,0.68,2.29,372
"683","Riffle",15.2,32.2,16.65,32.7666666666667,12.7151484458499,17.1279498675897,99.9,196.6,6,8.05,1.97,372
"684","Transition",9.9,52.6,15.7538461538462,66.2615384615385,11.34310476197,34.9063876308606,204.8,861.4,13,16.51,4.21,372
