"","VisitID","BFArea","WEArea","MainThalwegL","ThalwegsL","ThalwegR","BordersbyArea","No.GU","EdgeDensMainT","EdgeDensXS"
"83",3949,2281,1965,217,372,1.71,1.09,66,0.2,1.17
"84",3975,1415,987,204,274,1.34,2.13,70,0.21,2.43
"85",3979,23491,16309,540,2063,3.82,0.58,149,0.1,0.5
"86",3983,3877,2999,285,366,1.28,0.78,72,0.18,0.85
"87",3991,903,494,129,163,1.26,1.45,48,0.34,1.7
"88",4000,15342,9618,494,945,1.91,0.43,48,0.08,0.37
"89",4024,19919,11762,596,1068,1.79,0.35,43,0.08,0.35
"90",4086,24006,14504,646,1371,2.12,0.4,69,0.09,0.32
"91",4147,7618,5173,279,1008,3.61,0.95,143,0.14,0.54
"92",4179,5723,4271,371,707,1.91,0.83,90,0.12,0.75
"93",4182,4204,3161,312,338,1.08,0.69,41,0.12,0.82
"94",547,405,371,147,202,1.37,2.8,88,0.49,2.68
"95",548,665,548,153,169,1.1,2.23,92,0.51,2.42
"96",664,540,350,120,174,1.45,2.4,90,0.57,2.35
"97",665,972,770,163,172,1.06,1.83,54,0.27,NA
"98",681,2672,2447,270,438,1.62,1.14,84,0.24,1.1
"99",685,7811,6473,402,567,1.41,0.58,45,0.09,0.61
"100",686,1318,1231,169,277,1.64,1.41,45,0.24,1.43
"101",699,662,543,117,172,1.47,1.99,66,0.56,1.89
"102",701,565,422,124,169,1.36,2.16,75,0.58,2.15
"103",738,3100,1924,207,258,1.25,0.69,33,0.14,0.79
"104",747,946,510,126,154,1.22,1.4,63,0.5,1.37
"105",797,1265,520,168,262,1.56,1.62,85,0.29,1.61
"106",806,743,448,127,127,1,1.72,59,0.4,1.92
"107",820,470,367,128,161,1.26,2.46,67,0.54,2.65
"108",85,382,292,107,118,1.1,2.36,75,0.68,2.64
"109",895,2510,2262,200,346,1.73,0.94,57,0.27,0.86
"110",916,5153,4726,330,582,1.76,0.72,56,0.09,0.76
"111",920,1078,874,165,294,1.78,1.69,95,0.42,NA
"112",937,705,474,169,209,1.24,2.37,120,0.56,2.42
