"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"810","Trough",10.9,40.4,22.6142857142857,88.5714285714286,30.4318598714915,125.406189563962,158.3,620,7,16.73,3.92,747
"811","Wall",3.35,13.1,5.04444444444444,18.3111111111111,4.2847502806255,14.4325159393596,90.8,329.6,18,9.59,3.63,747
"812","Bowl",2.65,8.7,5.45,13.3444444444444,6.0518592184551,10.701908692995,98.1,240.2,18,7.75,2.45,797
"813","Bowl Transition",4.7,22.5,6.98125,24.3875,8.19481289190506,17.9109603315958,111.7,390.2,16,8.83,3.49,797
"814","Mound",5.75,25.4,13.2045454545455,35,14.2440121846649,28.3570433007728,290.5,770,22,22.96,2.65,797
"815","Mound Transition",0.9,8.6,2.76428571428571,19.947619047619,3.96298861285831,20.9737145377225,116.1,837.8,42,9.18,7.22,797
"816","Plane",2.8,24.2,12.1947368421053,55.5052631578947,17.6193225271515,58.8072697101322,231.7,1054.6,19,18.31,4.55,797
"817","Saddle",11,25.8,10.76,23.32,4.91253498715276,7.98824135839673,53.8,116.6,5,4.25,2.17,797
"818","Trough",5.8,23.8,12.5421052631579,50.6631578947368,17.4681079491065,58.3931903423899,238.3,962.6,19,18.84,4.04,797
"819","Wall",3.6,24,5.43478260869565,27.4260869565217,4.84041777833016,20.0103886062693,125,630.8,23,9.88,5.05,797
"820","Bowl",2.8,7.8,4.52,9.76,4.12764201105529,4.77864296337659,67.8,146.4,15,9.12,2.16,806
"821","Bowl Transition",1.3,9.4,2.77647058823529,12.8,3.29308544752575,9.62340895940726,47.2,217.6,17,6.35,4.61,806
"822","Mound",3.55,17.8,8.895,29.08,11.5960281312634,26.5927097251543,177.9,581.6,20,23.94,3.27,806
"823","Mound Transition",0.8,9.2,2.48064516129032,18.341935483871,3.9086587089724,23.674413392149,76.9,568.6,31,10.35,7.39,806
"824","Plane",2.8,26.8,15.3,75.5777777777778,19.4192559074749,83.1750830744667,137.7,680.2,9,18.53,4.94,806
"825","Saddle",9.5,19,10.3,21.8,6.53681879816169,12.6348723776697,30.9,65.4,3,4.16,2.12,806
"826","Trough",1.9,21.4,13.5222222222222,61.7777777777778,24.7013045089616,105.494902457154,121.7,556,9,16.38,4.57,806
"827","Wall",6.6,25.2,7.57272727272727,36.0909090909091,5.29095282706072,24.0017272105761,83.3,397,11,11.21,4.77,806
"828","Bowl",2.7,9.6,3.54583333333333,10.975,3.4220486067072,6.15490260580592,85.1,263.4,24,18.1,3.1,820
"829","Bowl Transition",0.5,5,0.525,5.8,0.287228132326901,3.45639503915086,2.1,23.2,4,0.45,11.05,820
