"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","good","Mid Channel Bar","perim.area.ratio",1.71794117647059,1.12824933362423,1.323,0.443,4.035,17
"AF","good","Mid Channel Bar","perim.mean",40.2268823529412,34.6639796941334,24.52,9.2,124.778,17
"AF","good","Mid Channel Bar","perim.med",29.2904705882353,26.2395812397932,21.9,6.6,88,17
"AF","good","Mid Channel Bar","perim.sd",48.4342142857143,49.1717814467084,28.5795,5.853,174.758,14
"AF","good","Mid Channel Bar","perim.sum",295.131882352941,377.276559281266,182.2,9.2,1123,17
"AF","good","Pocket Pool","area.mean",2.51675,1.84837919991182,2.013,0.64,8.475,16
"AF","good","Pocket Pool","area.med",2.47875,1.85400422509407,2.085,0.64,8.475,16
"AF","good","Pocket Pool","area.ratio",0.0023125,0.00199060292373944,0.001,0,0.006,16
"AF","good","Pocket Pool","area.sd",0.588428571428571,0.323437478035249,0.5785,0.028,1.086,14
"AF","good","Pocket Pool","area.sum",9.665625,7.54013436551365,8.04,1.28,28.56,16
"AF","good","Pocket Pool","n",4.125,2.52652594155163,3,1,8,16
"AF","good","Pocket Pool","perim.area.ratio",3.875375,1.46704014373613,3.666,1.676,7.656,16
"AF","good","Pocket Pool","perim.mean",7.8671875,2.41263273123643,7.4665,4.433,14.2,16
"AF","good","Pocket Pool","perim.med",7.75625,2.39776805939746,7.6,4.4,14.2,16
"AF","good","Pocket Pool","perim.sd",1.28307142857143,0.523973203114833,1.185,0.702,2.26,14
"AF","good","Pocket Pool","perim.sum",31.625,21.5125234843955,27.5,7,87.4,16
"AF","good","Pond","area.mean",44.8056666666667,69.4915722132308,20,3.05,184.169,6
"AF","good","Pond","area.med",29.9128333333333,34.3310612443989,20,3.05,94.812,6
"AF","good","Pond","area.ratio",0.0106666666666667,0.0127854083496252,0.0045,0.001,0.033,6
"AF","good","Pond","area.sd",79.80925,113.566052754553,34.047,2.524,248.619,4
"AF","good","Pond","area.sum",180.385833333333,363.789428466753,40,3.05,920.845,6
"AF","good","Pond","n",2.16666666666667,1.47196014438797,2,1,5,6
"AF","good","Pond","perim.area.ratio",1.53583333333333,1.00300456961405,1.4115,0.35,3.016,6
"AF","good","Pond","perim.mean",27.3633333333333,19.9726229290663,25.25,9.2,64.48,6
"AF","good","Pond","perim.med",24.4833333333333,13.8607960329364,25.25,9.2,47.2,6
"AF","good","Pond","perim.sd",21.9645,14.5790530671005,20.6475,5.798,40.765,4
"AF","good","Pond","perim.sum",83.6001666666667,118.919331986716,50.5,9.2,322.401,6
"AF","good","Pool","area.mean",82.0699411764706,115.588148674762,41.17,5.14,385.102,17
