"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","poor","Margin Attached Bar","perim.sum",1194.05544444444,613.488972808057,999.699,557,2449.8,18
"AF","poor","Mid Channel Bar","area.mean",19.3784545454545,22.3141449012219,10.125,1.568,67.318,11
"AF","poor","Mid Channel Bar","area.med",17.6609090909091,20.9632102525093,9.865,1.585,59.92,11
"AF","poor","Mid Channel Bar","area.ratio",0.0152727272727273,0.0241001697466674,0.007,0,0.081,11
"AF","poor","Mid Channel Bar","area.sd",13.6848333333333,13.7371723643065,11.597,0.926,39.744,6
"AF","poor","Mid Channel Bar","area.sum",73.051,104.111852317592,40.5,1.74,336.59,11
"AF","poor","Mid Channel Bar","n",3.27272727272727,2.90141031537799,2,1,10,11
"AF","poor","Mid Channel Bar","perim.area.ratio",2.04918181818182,1.12182287534012,1.954,0.585,3.937,11
"AF","poor","Mid Channel Bar","perim.mean",24.3214545454545,27.3336339602463,14.35,6,100.2,11
"AF","poor","Mid Channel Bar","perim.med",23.7636363636364,27.277766504143,14.8,5.9,100.2,11
"AF","poor","Mid Channel Bar","perim.sd",7.70933333333333,4.74813625190628,7.6255,3.065,15.713,6
"AF","poor","Mid Channel Bar","perim.sum",75.6627272727273,81.7153748190521,57.4,6,245.2,11
"AF","poor","Pocket Pool","area.mean",2.89464705882353,1.67159182896037,2.457,0.569,6.22,17
"AF","poor","Pocket Pool","area.med",2.79088235294118,1.5354867258606,2.485,0.59,6.22,17
"AF","poor","Pocket Pool","area.ratio",0.00311764705882353,0.00196476311998344,0.003,0,0.007,17
"AF","poor","Pocket Pool","area.sd",0.7665,0.61591979997399,0.595,0.119,2.659,16
"AF","poor","Pocket Pool","area.sum",12.8588235294118,8.8444388476269,12.44,1.67,28.49,17
"AF","poor","Pocket Pool","n",4.70588235294118,2.64018715914121,5,1,10,17
"AF","poor","Pocket Pool","perim.area.ratio",3.53382352941176,1.2977396809113,3.191,1.994,7.03,17
"AF","poor","Pocket Pool","perim.mean",8.49070588235294,2.5186811470665,8.075,4,13.08,17
"AF","poor","Pocket Pool","perim.med",8.21176470588235,2.25662423570617,8.1,3.8,12.4,17
"AF","poor","Pocket Pool","perim.sd",1.61525,0.999343751335512,1.1775,0.739,3.893,16
"AF","poor","Pocket Pool","perim.sum",38.7411764705882,22.3551744240436,36,7,87,17
"AF","poor","Pond","area.mean",11.41,NA,11.41,11.41,11.41,1
"AF","poor","Pond","area.med",11.41,NA,11.41,11.41,11.41,1
"AF","poor","Pond","area.ratio",0.001,NA,0.001,0.001,0.001,1
"AF","poor","Pond","area.sd",NA,NA,NA,Inf,-Inf,0
"AF","poor","Pond","area.sum",11.41,NA,11.41,11.41,11.41,1
"AF","poor","Pond","n",1,NA,1,1,1,1
"AF","poor","Pond","perim.area.ratio",1.367,NA,1.367,1.367,1.367,1
"AF","poor","Pond","perim.mean",15.6,NA,15.6,15.6,15.6,1
"AF","poor","Pond","perim.med",15.6,NA,15.6,15.6,15.6,1
"AF","poor","Pond","perim.sd",NA,NA,NA,Inf,-Inf,0
"AF","poor","Pond","perim.sum",15.6,NA,15.6,15.6,15.6,1
"AF","poor","Pool","area.mean",54.6826666666667,61.9584159530549,26.314,2.902,186.887,18
"AF","poor","Pool","area.med",28.2141666666667,37.6146206809345,11.1725,1.9,154.215,18
"AF","poor","Pool","area.ratio",0.0735,0.0394002836657451,0.059,0.021,0.132,18
"AF","poor","Pool","area.sd",67.0652222222222,77.3884225210765,40.622,2.366,234.664,18
"AF","poor","Pool","area.sum",553.623388888889,686.970786244102,318.58,52.35,2225.74,18
"AF","poor","Pool","n",10.3888888888889,3.86749484031579,9.5,6,20,18
"AF","poor","Pool","perim.area.ratio",1.26772222222222,0.816000418508799,1.085,0.437,3.811,18
"AF","poor","Pool","perim.mean",37.8754444444444,24.2457899977373,28.1885,11.06,81.85,18
"AF","poor","Pool","perim.med",26.8666666666667,17.2997109802447,19.25,9.1,73.3,18
"AF","poor","Pool","perim.sd",30.9516666666667,24.6633947427213,23.0075,5.113,74.249,18
"AF","poor","Pool","perim.sum",380.6,268.2098476062,277.4,105,982.2,18
"AF","poor","Rapid","area.mean",41.8425,46.4469929956002,25.7,6.79,109.18,4
"AF","poor","Rapid","area.med",41.8425,46.4469929956002,25.7,6.79,109.18,4
"AF","poor","Rapid","area.ratio",0.017,0.0130384048104053,0.0145,0.004,0.035,4
"AF","poor","Rapid","area.sd",4.115,NA,4.115,4.115,4.115,1
"AF","poor","Rapid","area.sum",43.54,44.8350108732004,25.7,13.58,109.18,4
"AF","poor","Rapid","n",1.25,0.5,1,1,2,4
"AF","poor","Rapid","perim.area.ratio",1.75425,0.750876543336741,1.7725,0.821,2.651,4
"AF","poor","Rapid","perim.mean",49.25,32.0941843122187,44.7,18,89.6,4
"AF","poor","Rapid","perim.med",49.25,32.0941843122187,44.7,18,89.6,4
"AF","poor","Rapid","perim.sd",10.465,NA,10.465,10.465,10.465,1
"AF","poor","Rapid","perim.sum",53.75,27.1299956997171,47.8,29.8,89.6,4
"AF","poor","Riffle","area.mean",99.5488,96.1899272757511,94.74,2.898,363.14,15
"AF","poor","Riffle","area.med",95.9783333333333,96.9305966486675,74.59,2.335,363.14,15
"AF","poor","Riffle","area.ratio",0.0297333333333333,0.0204396906136309,0.028,0.003,0.079,15
"AF","poor","Riffle","area.sd",65.0779,77.6755761376909,41.1125,1.93,258.944,10
"AF","poor","Riffle","area.sum",202.9,207.129451275559,123.88,11.59,726.28,15
"AF","poor","Riffle","n",2.26666666666667,1.27988094684437,2,1,5,15
"AF","poor","Riffle","perim.area.ratio",1.2202,0.775709279120912,0.998,0.618,3.744,15
"AF","poor","Riffle","perim.mean",84.3337333333333,67.5911073086506,87.4,10.85,274.1,15
"AF","poor","Riffle","perim.med",79.5266,68.1210169937087,59.2,9.9,274.1,15
"AF","poor","Riffle","perim.sd",56.4749,65.9342637066984,41.8005,3.646,227.264,10
"AF","poor","Riffle","perim.sum",172.199866666667,144.344801579347,138.2,29.8,548.2,15
"AF","poor","Transition","area.mean",230.944777777778,346.434856486427,129.8235,19.156,1473.716,18
"AF","poor","Transition","area.med",183.824833333333,345.896594882522,58.24,9.1,1473.716,18
"AF","poor","Transition","area.ratio",0.168777777777778,0.079982759580208,0.135,0.082,0.295,18
"AF","poor","Transition","area.sd",213.757352941176,289.836019024323,109.302,19.425,1061.711,17
"AF","poor","Transition","area.sum",951.174444444444,836.15787870686,644.655,210.197,2947.432,18
"AF","poor","Transition","n",6.66666666666667,2.89014552859723,7,1,11,18
"AF","poor","Transition","perim.area.ratio",2.40994444444444,1.15728426891796,2.219,0.691,5.591,18
"AF","poor","Transition","perim.mean",334.0345,270.51425728617,232.1625,97.533,1018.8,18
"AF","poor","Transition","perim.med",265.610777777778,280.104068033872,144.25,37.001,1018.8,18
"AF","poor","Transition","perim.sd",266.687235294118,265.438586491426,166.416,32.45,1064.086,17
"AF","poor","Transition","perim.sum",1653.19794444444,850.247385918909,1331.7555,780.26,3700.182,18
"CV","good","Bank","area.mean",5.377,3.89489186841774,4.042,2.362,11.062,4
"CV","good","Bank","area.med",3.85625,2.72624703881851,3.06,1.575,7.73,4
"CV","good","Bank","area.ratio",0.117,0.0211187120819429,0.1225,0.088,0.135,4
"CV","good","Bank","area.sd",4.815,2.65671187749067,3.9035,2.753,8.7,4
"CV","good","Bank","area.sum",73.935,36.0312387612009,66.51,41.04,121.68,4
"CV","good","Bank","n",16.25,7.27438428093173,16.5,9,23,4
"CV","good","Bank","perim.area.ratio",6.67275,2.11143701066359,7.363,3.588,8.377,4
"CV","good","Bank","perim.mean",30.29925,10.5736354320546,32.026,17.454,39.691,4
"CV","good","Bank","perim.med",21.49975,8.07701679148929,20.3995,13.6,31.6,4
"CV","good","Bank","perim.sd",24.58375,5.64243525291459,27.1825,16.137,27.833,4
"CV","good","Bank","perim.sum",439.7485,110.004990497401,410.299,343.797,594.599,4
"CV","good","Cascade","area.mean",9.01933333333333,5.29302950429462,8.288,4.13,14.64,3
"CV","good","Cascade","area.med",7.58333333333333,6.11171279866236,4.13,3.98,14.64,3
"CV","good","Cascade","area.ratio",0.0746666666666667,0.0980832979325906,0.031,0.006,0.187,3
"CV","good","Cascade","area.sd",8.931,NA,8.931,8.931,8.931,1
"CV","good","Cascade","area.sum",31.1206666666667,38.0122696156561,14.64,4.13,74.592,3
"CV","good","Cascade","n",3.66666666666667,4.61880215351701,1,1,9,3
"CV","good","Cascade","perim.area.ratio",2.52133333333333,0.565637987880352,2.712,1.885,2.967,3
"CV","good","Cascade","perim.mean",21.1296666666667,8.73047915828984,24.587,11.2,27.602,3
"CV","good","Cascade","perim.med",18.734,8.28197247037202,17.4,11.2,27.602,3
"CV","good","Cascade","perim.sd",15.744,NA,15.744,15.744,15.744,1
"CV","good","Cascade","perim.sum",86.6946666666667,116.844208762494,27.602,11.2,221.282,3
"CV","good","Glide-Run","area.mean",14.786,15.1488340145372,8.815,4.307,37.207,4
"CV","good","Glide-Run","area.med",12.5525,13.7438019363882,6.825,3.72,32.84,4
"CV","good","Glide-Run","area.ratio",0.09425,0.0416363222839546,0.101,0.043,0.132,4
"CV","good","Glide-Run","area.sd",6.381,4.25118328625494,6.1635,1.669,11.528,4
"CV","good","Glide-Run","area.sum",64.58775,44.9312599747288,64.752,17.227,111.62,4
"CV","good","Glide-Run","n",5.25,2.62995563967658,4.5,3,9,4
"CV","good","Glide-Run","perim.area.ratio",2.6805,0.866781979508111,3.0085,1.405,3.3,4
"CV","good","Glide-Run","perim.mean",29.7905,16.2958825985789,26.3405,14.214,52.267,4
"CV","good","Glide-Run","perim.med",26.07475,12.1350702614365,24.435,13.829,41.6,4
"CV","good","Glide-Run","perim.sd",13.441,10.6084063207754,11.1755,4.009,27.404,4
"CV","good","Glide-Run","perim.sum",149.1445,89.7296540559474,135.404,56.858,268.912,4
"CV","good","Margin Attached Bar","area.mean",8.09275,5.49578295150018,7.4455,2.722,14.758,4
"CV","good","Margin Attached Bar","area.med",5.04375,3.88897881840465,4.96,1.185,9.07,4
"CV","good","Margin Attached Bar","area.ratio",0.22325,0.0307286511256189,0.216,0.196,0.265,4
"CV","good","Margin Attached Bar","area.sd",7.653,4.14434948654993,7.1645,3.473,12.81,4
"CV","good","Margin Attached Bar","area.sum",135.65625,42.2992804066058,141.935,81.665,177.09,4
"CV","good","Margin Attached Bar","n",22.25,12.0104121494643,21,12,35,4
"CV","good","Margin Attached Bar","perim.area.ratio",3.7115,1.03969498732401,3.5405,2.765,5,4
"CV","good","Margin Attached Bar","perim.mean",25.97825,12.2153183169058,24.752,13.609,40.8,4
"CV","good","Margin Attached Bar","perim.med",20.825,11.6167623142882,20.75,8.6,33.2,4
"CV","good","Margin Attached Bar","perim.sd",19.007,8.18442476088984,17.7105,10.881,29.726,4
"CV","good","Margin Attached Bar","perim.sum",480.81475,127.376392122913,448.9295,369,656.4,4
"CV","good","Mid Channel Bar","area.mean",2.9635,3.02379160437135,2.01,0.61,7.224,4
"CV","good","Mid Channel Bar","area.med",1.6675,1.066532543651,1.535,0.61,2.99,4
"CV","good","Mid Channel Bar","area.ratio",0.0225,0.036418859583097,0.006,0.001,0.077,4
"CV","good","Mid Channel Bar","area.sd",4.65666666666667,5.11011001186211,2.871,0.679,10.42,3
"CV","good","Mid Channel Bar","area.sum",11.19225,16.7719251603188,4.02,0.61,36.119,4
"CV","good","Mid Channel Bar","n",2.5,1.73205080756888,2,1,5,4
"CV","good","Mid Channel Bar","perim.area.ratio",4.17475,1.60187169169902,3.9635,2.542,6.23,4
"CV","good","Mid Channel Bar","perim.mean",10.10125,9.60697695687879,6.15,3.8,24.305,4
"CV","good","Mid Channel Bar","perim.med",6.225,2.36132025217532,6.15,3.8,8.8,4
"CV","good","Mid Channel Bar","perim.sd",12.5406666666667,16.4804423585453,3.96,2.121,31.541,3
"CV","good","Mid Channel Bar","perim.sum",37.4815,56.222644628299,12.3,3.8,121.526,4
"CV","good","Pocket Pool","area.mean",0.83625,0.164041407374276,0.802,0.677,1.064,4
"CV","good","Pocket Pool","area.med",0.79,0.251263473933903,0.805,0.47,1.08,4
"CV","good","Pocket Pool","area.ratio",0.01175,0.00403112887414927,0.013,0.006,0.015,4
"CV","good","Pocket Pool","area.sd",0.26925,0.198484886074482,0.2035,0.111,0.559,4
"CV","good","Pocket Pool","area.sum",6.8275,2.21767708800598,5.935,5.32,10.12,4
"CV","good","Pocket Pool","n",8.5,3.41565025531987,8,5,13,4
"CV","good","Pocket Pool","perim.area.ratio",5.6245,0.308569279093043,5.6495,5.226,5.973,4
"CV","good","Pocket Pool","perim.mean",4.666,0.643613237899905,4.53,4.044,5.56,4
"CV","good","Pocket Pool","perim.med",4.3,0.824621125123532,4.2,3.4,5.4,4
"CV","good","Pocket Pool","perim.sd",0.9295,0.46837342651635,0.7575,0.582,1.621,4
"CV","good","Pocket Pool","perim.sum",38.55,13.1771266468326,34.4,27.8,57.6,4
"CV","good","Pool","area.mean",3.58275,1.50395287492661,3.409,1.94,5.573,4
"CV","good","Pool","area.med",2.8875,1.13015116982936,2.81,1.74,4.19,4
"CV","good","Pool","area.ratio",0.043,0.0117473401244707,0.0415,0.031,0.058,4
"CV","good","Pool","area.sd",2.34125,1.18036276203547,2.1925,1.065,3.915,4
"CV","good","Pool","area.sum",25.84,8.89901867249043,27.78,14.36,33.44,4
"CV","good","Pool","n",8,3.65148371670111,8,4,12,4
"CV","good","Pool","perim.area.ratio",3.11175,0.629606954112378,3.1325,2.333,3.849,4
"CV","good","Pool","perim.mean",10.44425,2.27323240856128,10.655,7.467,13,4
"CV","good","Pool","perim.med",9.55,2.04368947412924,9.75,7.2,11.5,4
"CV","good","Pool","perim.sd",3.88425,1.42067293327259,3.906,2.246,5.479,4
"CV","good","Pool","perim.sum",79.05025,26.5633701473163,83.8,43.001,105.6,4
"CV","good","Rapid","area.mean",20.7175,11.830682975495,17.107,11.068,37.588,4
"CV","good","Rapid","area.med",17.60875,16.6481322150564,9.3875,9.08,42.58,4
"CV","good","Rapid","area.ratio",0.203,0.039344631145812,0.195,0.166,0.256,4
"CV","good","Rapid","area.sd",16.27125,10.0440429235443,15.796,4.838,28.655,4
"CV","good","Rapid","area.sum",125.611,49.7766187749496,124.0475,66.409,187.94,4
"CV","good","Rapid","n",6.5,1.73205080756888,6,5,9,4
"CV","good","Rapid","perim.area.ratio",2.35875,0.525724500094869,2.289,1.869,2.988,4
"CV","good","Rapid","perim.mean",44.975,17.0561750499147,38.2955,33.069,70.24,4
"CV","good","Rapid","perim.med",38.955,24.4640737000198,29.5765,21.467,75.2,4
"CV","good","Rapid","perim.sd",32.4255,16.9867928599447,30.672,14.757,53.601,4
"CV","good","Rapid","perim.sum",280.02975,73.7449100226585,285.251,198.417,351.2,4
"CV","good","Riffle","area.mean",4.6375,3.35504659679514,3.4065,2.152,9.585,4
"CV","good","Riffle","area.med",4.315,2.30273026354948,3.505,2.55,7.7,4
"CV","good","Riffle","area.ratio",0.0275,0.0193649167310371,0.024,0.008,0.054,4
"CV","good","Riffle","area.sd",3.13775,2.30913394659845,2.366,1.461,6.358,4
"CV","good","Riffle","area.sum",16.4825,14.6460742749266,10.185,7.22,38.34,4
"CV","good","Riffle","n",3.5,1.29099444873581,3.5,2,5,4
"CV","good","Riffle","perim.area.ratio",3.161,0.666731330197304,3.327,2.217,3.773,4
"CV","good","Riffle","perim.mean",13.0175,5.74820769167805,11.35,8.12,21.25,4
"CV","good","Riffle","perim.med",12.925,4.22009083630515,11.65,9.4,19,4
"CV","good","Riffle","perim.sd",6.379,3.26872656142011,6.334,3.143,9.705,4
"CV","good","Riffle","perim.sum",45.35,27.2364339320208,35.9,24.6,85,4
"CV","good","Transition","area.mean",37.87825,58.9016939958719,9.964,5.415,126.17,4
"CV","good","Transition","area.med",37.00225,59.4948699209996,8.3225,5.194,126.17,4
"CV","good","Transition","area.ratio",0.20175,0.0626278691957502,0.193,0.141,0.28,4
"CV","good","Transition","area.sd",4.2965,2.64532625587091,3.609,2.017,7.951,4
"CV","good","Transition","area.sum",135.1545,89.2539203116591,111.6505,64.977,252.34,4
"CV","good","Transition","n",9,5.71547606649408,9.5,2,15,4
"CV","good","Transition","perim.area.ratio",4.4925,1.34842389477493,4.648,2.704,5.97,4
"CV","good","Transition","perim.mean",116.56575,149.92932848818,46.369,32.325,341.2,4
"CV","good","Transition","perim.med",112.5015,152.606675320359,39.5855,29.635,341.2,4
"CV","good","Transition","perim.sd",17.483,9.75477479664873,16.832,6.223,30.045,4
"CV","good","Transition","perim.sum",529.562,218.789901211185,535.149,300.238,747.712,4
"CV","mod","Bank","area.mean",11.7006666666667,12.8417809304888,7.293,2.362,35.86,6
"CV","mod","Bank","area.med",5.1575,4.92447027608046,2.8375,1.575,14.095,6
"CV","mod","Bank","area.ratio",0.129666666666667,0.0288559641437722,0.1245,0.097,0.182,6
"CV","mod","Bank","area.sd",14.77,22.3646923698941,6.4465,2.535,59.935,6
"CV","mod","Bank","area.sum",125.529666666667,93.4520889047787,101.365,37.06,286.878,6
"CV","mod","Bank","n",14.8333333333333,6.17791766428355,12.5,8,23,6
"CV","mod","Bank","perim.area.ratio",5.77566666666667,2.33496986418812,6.3665,2.547,8.396,6
"CV","mod","Bank","perim.mean",46.1266666666667,31.1700519837017,32.7715,17.454,91.325,6
"CV","mod","Bank","perim.med",26.2331666666667,24.1837854804964,16.7,11.4,74.8,6
"CV","mod","Bank","perim.sd",47.6941666666667,49.0189971966652,27.1825,16.137,144.738,6
"CV","mod","Bank","perim.sum",566.499,238.359997819265,515.599,311.199,942,6
"CV","mod","Cascade","area.mean",19.712,27.3955959234327,8.288,3.69,68.118,5
"CV","mod","Cascade","area.med",13.332,17.4002821816199,4.13,3.69,43.99,5
"CV","mod","Cascade","area.ratio",0.0762,0.0792382483400536,0.049,0.006,0.187,5
"CV","mod","Cascade","area.sd",28.87,36.870941091868,8.931,6.262,71.417,3
"CV","mod","Cascade","area.sum",71.6872,81.8482016613682,71.67,3.69,204.354,5
"CV","mod","Cascade","n",3.8,3.3466401061363,3,1,9,5
"CV","mod","Cascade","perim.area.ratio",2.1634,0.92627145049386,2.71,0.776,2.967,5
"CV","mod","Cascade","perim.mean",24.4706,17.2741182350938,23.68,10,52.886,5
"CV","mod","Cascade","perim.med",21.88,18.3557075592307,16.6,10,54.2,5
"CV","mod","Cascade","perim.sd",18.5946666666667,9.16958485065345,15.744,11.189,28.851,3
"CV","mod","Cascade","perim.sum",103.908,92.7331145923612,118.4,10,221.282,5
"CV","mod","Glide-Run","area.mean",21.4336666666667,17.2756035919636,14.273,4.307,48.203,6
"CV","mod","Glide-Run","area.med",17.395,11.5471238843272,14.445,3.72,32.84,6
"CV","mod","Glide-Run","area.ratio",0.0975,0.0511575996309444,0.108,0.033,0.161,6
"CV","mod","Glide-Run","area.sd",12.8226666666667,17.3182789522131,7.111,1.669,47.368,6
"CV","mod","Glide-Run","area.sum",79.453,46.0496606458723,77.2455,17.227,144.61,6
"CV","mod","Glide-Run","n",4.5,2.34520787991171,3.5,3,9,6
"CV","mod","Glide-Run","perim.area.ratio",2.14733333333333,0.853497197808327,2.1005,1.088,3.3,6
"CV","mod","Glide-Run","perim.mean",34.6601666666667,14.9860631977403,30.3395,14.214,52.467,6
"CV","mod","Glide-Run","perim.med",30.1165,9.07379421741534,31.635,13.829,41.6,6
"CV","mod","Glide-Run","perim.sd",16.8575,13.1191380166534,13.306,4.009,37.403,6
"CV","mod","Glide-Run","perim.sum",145.673333333333,72.3758586012399,149.235,56.858,268.912,6
"CV","mod","Margin Attached Bar","area.mean",9.21483333333333,6.61238088487548,6.793,2.722,19.65,6
"CV","mod","Margin Attached Bar","area.med",5.14916666666667,4.11707228096212,3.455,1.185,11.44,6
"CV","mod","Margin Attached Bar","area.ratio",0.195,0.0496829950787993,0.2005,0.112,0.257,6
"CV","mod","Margin Attached Bar","area.sd",9.5925,5.36131046480243,9.3135,3.473,16.302,6
"CV","mod","Margin Attached Bar","area.sum",157.644333333333,61.5627925184252,168.455,81.665,251.96,6
"CV","mod","Margin Attached Bar","n",22.5,10.9316055545377,24,9,35,6
"CV","mod","Margin Attached Bar","perim.area.ratio",3.55683333333333,0.959735883806929,3.471,2.533,5,6
"CV","mod","Margin Attached Bar","perim.mean",28.12,14.0381754227535,22.8895,13.609,49.778,6
"CV","mod","Margin Attached Bar","perim.med",21.1666666666667,11.6779564422319,16.9,8.6,37.8,6
"CV","mod","Margin Attached Bar","perim.sd",25.0026666666667,13.7309625251352,23.232,10.881,48.121,6
"CV","mod","Margin Attached Bar","perim.sum",523.062,144.093605400101,468.8,391.913,744.2,6
"CV","mod","Mid Channel Bar","area.mean",4.74033333333333,7.24426287945617,2.02,0.61,19.34,6
"CV","mod","Mid Channel Bar","area.med",4.58916666666667,7.28661403991365,1.7825,0.61,19.34,6
"CV","mod","Mid Channel Bar","area.ratio",0.0085,0.00804363102087608,0.006,0.001,0.023,6
"CV","mod","Mid Channel Bar","area.sd",2.62866666666667,1.84050436927852,2.871,0.679,4.336,3
"CV","mod","Mid Channel Bar","area.sum",10.5436666666667,13.5620503120534,4.02,0.61,34.222,6
"CV","mod","Mid Channel Bar","n",2.83333333333333,3.54494945897211,1.5,1,10,6
"CV","mod","Mid Channel Bar","perim.area.ratio",3.93883333333333,1.86818354737073,4.0375,1.262,6.23,6
"CV","mod","Mid Channel Bar","perim.mean",9.71966666666667,7.75745838961877,6.7,3.8,24.4,6
"CV","mod","Mid Channel Bar","perim.med",9,7.70168812663821,6.7,3.8,24.4,6
"CV","mod","Mid Channel Bar","perim.sd",6.641,6.30367202509775,3.96,2.121,13.842,3
"CV","mod","Mid Channel Bar","perim.sum",29.797,44.8985208442327,12.3,3.8,120.182,6
"CV","mod","Pocket Pool","area.mean",1.0105,0.460057279042512,0.877,0.676,1.892,6
"CV","mod","Pocket Pool","area.med",0.975833333333333,0.50414696931219,0.83,0.47,1.92,6
"CV","mod","Pocket Pool","area.ratio",0.0111666666666667,0.00511533641774093,0.0105,0.006,0.018,6
"CV","mod","Pocket Pool","area.sd",0.2915,0.177678079683455,0.258,0.111,0.559,6
"CV","mod","Pocket Pool","area.sum",8.39666666666667,2.63243360156845,8.44,5.32,11.35,6
"CV","mod","Pocket Pool","n",9,3.03315017762062,9.5,5,13,6
"CV","mod","Pocket Pool","perim.area.ratio",5.25183333333333,0.892329180665222,5.4605,3.577,5.973,6
"CV","mod","Pocket Pool","perim.mean",4.967,1.06461748999347,4.7155,4,6.767,6
"CV","mod","Pocket Pool","perim.med",4.8,1.18659175793531,4.5,3.4,6.8,6
"CV","mod","Pocket Pool","perim.sd",0.9625,0.405006049337538,0.8745,0.462,1.621,6
"CV","mod","Pocket Pool","perim.sum",42.9,11.3706640087552,40.3,27.8,57.6,6
"CV","mod","Pool","area.mean",3.16116666666667,1.28039890919458,2.9845,1.94,5.573,6
"CV","mod","Pool","area.med",2.43833333333333,1.0223828376233,2.3425,1.225,4.19,6
"CV","mod","Pool","area.ratio",0.036,0.0184715998224301,0.0415,0.01,0.058,6
"CV","mod","Pool","area.sd",1.80633333333333,1.20073671829701,1.5215,0.5,3.915,6
"CV","mod","Pool","area.sum",24.775,7.40163157688898,24.855,15.16,33.44,6
"CV","mod","Pool","n",8.33333333333333,2.58198889747161,8.5,5,12,6
"CV","mod","Pool","perim.area.ratio",3.17116666666667,0.513084950731033,3.159,2.333,3.849,6
"CV","mod","Pool","perim.mean",9.50933333333333,2.02519566132921,9.0645,7.467,13,6
"CV","mod","Pool","perim.med",8.25,1.97053292284093,8.35,5.5,11.5,6
"CV","mod","Pool","perim.sd",3.6015,1.44113313056081,3.568,2.151,5.479,6
"CV","mod","Pool","perim.sum",77.1,20.6191173428932,79,46.2,105.6,6
"CV","mod","Rapid","area.mean",34.6391666666667,27.6188131853392,25.929,11.068,80.693,6
"CV","mod","Rapid","area.med",31.37,30.6188268880439,21.115,7.92,86.41,6
"CV","mod","Rapid","area.ratio",0.2355,0.0795003144647869,0.2165,0.166,0.387,6
"CV","mod","Rapid","area.sd",24.326,17.2130766221498,21.61,4.838,52.298,6
"CV","mod","Rapid","area.sum",232.8565,192.523899099047,158.1865,66.409,564.848,6
"CV","mod","Rapid","n",6.83333333333333,1.32916013582513,7,5,9,6
"CV","mod","Rapid","perim.area.ratio",2.03216666666667,0.762476338430686,2.141,1.111,2.988,6
"CV","mod","Rapid","perim.mean",54.5886666666667,26.2468928040381,46.721,32.302,98.479,6
"CV","mod","Rapid","perim.med",49.661,29.2710545214893,39.0495,21.467,94.4,6
"CV","mod","Rapid","perim.sd",33.9763333333333,16.0598530960488,31.0425,14.757,53.601,6
"CV","mod","Rapid","perim.sum",365.525,175.714381429637,342.0335,198.417,689.353,6
"CV","mod","Riffle","area.mean",6.08116666666667,4.64293848404937,3.79,2.152,13.922,6
"CV","mod","Riffle","area.med",6.47166666666667,6.15294292730452,3.77,2.55,18.425,6
"CV","mod","Riffle","area.ratio",0.0313333333333333,0.0213884704143767,0.0305,0.008,0.057,6
"CV","mod","Riffle","area.sd",3.8445,3.49454665157013,2.5495,0.511,9.638,6
"CV","mod","Riffle","area.sum",27.4583333333333,29.6713676237997,12.45,7.22,83.53,6
"CV","mod","Riffle","n",4,1.4142135623731,4,2,6,6
"CV","mod","Riffle","perim.area.ratio",2.93533333333333,0.706008120822039,3.127,1.961,3.773,6
"CV","mod","Riffle","perim.mean",15.2421666666667,7.40045972671068,12.1165,8.12,27.3,6
"CV","mod","Riffle","perim.med",15.5833333333333,8.5480797063824,12.05,9.4,31.5,6
"CV","mod","Riffle","perim.sd",7.01,5.46354924934332,6.334,0.611,15.736,6
"CV","mod","Riffle","perim.sum",65.3333333333333,52.4609823265507,41.4,24.6,163.8,6
"CV","mod","Transition","area.mean",38.9068333333333,49.3716026129056,12.6945,5.415,126.17,6
"CV","mod","Transition","area.med",30.7708333333333,48.2356146489984,6.7675,4.265,126.17,6
"CV","mod","Transition","area.ratio",0.191666666666667,0.0601387285088957,0.193,0.128,0.28,6
"CV","mod","Transition","area.sd",17.0685,26.5084095694178,5.697,2.017,70.098,6
"CV","mod","Transition","area.sum",178.155166666667,114.833209589242,175.5045,48.727,351.878,6
"CV","mod","Transition","n",9.16666666666667,5.03653319920227,10,2,15,6
"CV","mod","Transition","perim.area.ratio",4.426,1.49912948073207,4.6125,2.632,6.025,6
"CV","mod","Transition","perim.mean",118.652166666667,122.942524261407,58.2235,32.325,341.2,6
"CV","mod","Transition","perim.med",96.375,122.675330243697,38.4855,29.635,341.2,6
"CV","mod","Transition","perim.sd",49.954,59.4299420561723,24.337,6.223,164.288,6
"CV","mod","Transition","perim.sum",650.6015,256.587951119884,715.056,293.586,926.213,6
"CV","poor","Bank","area.mean",13.5684,13.415512040172,11.062,2.851,35.86,5
"CV","poor","Bank","area.med",5.874,5.14419259942705,3.255,1.87,14.095,5
"CV","poor","Bank","area.ratio",0.1296,0.0322614320822867,0.119,0.097,0.182,5
"CV","poor","Bank","area.sd",17.1734,24.1226417355148,8.7,2.535,59.935,5
"CV","poor","Bank","area.sum",140.2416,96.4018090224452,121.68,37.06,286.878,5
"CV","poor","Bank","n",13.4,5.68330889535313,12,8,23,5
"CV","poor","Bank","perim.area.ratio",5.4528,2.45627435356884,5.397,2.547,8.396,5
"CV","poor","Bank","perim.mean",51.8612,31.1099442574235,39.691,23.938,91.325,5
"CV","poor","Bank","perim.med",28.7598,26.1379088719813,16.8,11.4,74.8,5
"CV","poor","Bank","perim.sd",54.0056,52.0078953361891,27.405,20.294,144.738,5
"CV","poor","Bank","perim.sum",602.999,247.037417612191,594.599,311.199,942,5
"CV","poor","Cascade","area.mean",22.568,30.7622061627576,9.232,3.69,68.118,4
