SiteName,Watershed,visit.id,Gradient,LWfreq,Braid,Sinuosity,bfw,bfd,cover,Ucut,D50,Bldr,Cbl,Gvl,Sndf,Planform,Threads,Bedform,Substrate,Confinement,LONG_DD,LAT_DD
CBW05583-452047,Lemhi,1448,0.365,21.3244626,1.11,1.345,14.695,0.35,19.88,3.24,19,0.45,12.545,62.045,21.385,Wandering,Transitional,Pool-Riffle,gravel-sand,UCV,NA,NA
CBW05583-339839,Tucannon,1486,0.805,5.606050639,1,1.02,12.7,0.475,11.79,NA,56.5,8.38,33.245,47.26,7.605,Straight,Single,Plane-Bed,cobble-gravel,PCV,NA,NA
CBW05583-420019,Tucannon,1494,0.366,4.147921253,1,1.01,13.48,0.55,8.65,1.03,47,0.66,7.96,75.72,14.24,Straight,Single,Plane-Bed,gravel,PCV,NA,NA
CBW05583-036697,Methow ,1521,0.528,6.562002723,1,1.05,33.94,0.76,2.54,0.29,86,10.72,52.12,25.52,8.72,Sinuous,Single,Plane-Bed,cobble-gravel,PCV,710714,5395006
CBW05583-093023,Lemhi,1545,3,1.553269367,1.275,1.07,6.06,0.175,13.185,2.45,42,5.275,38.13,51.275,5.475,Wandering,Transitional,Plane-Bed,cobble-gravel,CV,NA,NA
YFI00001-000828,Yankee Fork,1549,2,9.106714132,1,1.3,4.73,0.29,16.73,9.1,54,27.02,24.92,36.01,9.15,Meandering,Single,Plane-Bed,boulder-cobble-gravel,PCV,NA,NA
CBW05583-315823,Lemhi,1587,1,17.70494503,1,1.09,14.1,0.4,18.88,2.26,113,16.75,35.5,37.23,6.84,Sinuous,Single,Plane-Bed,boulder-cobble-gravel,PCV,NA,NA
CBW05583-020761,Methow ,1596,0.8635,70.39103905,1,1.03,30.725,0.665,34.715,1.255,90,7.915,49.785,19.655,6.595,Wandering,Transitional,Plane-Bed,cobble-gravel,UCV,712169,5361026
ORW03446-084462,Upper Grande Ronde,1602,1,15.57,1.13,1.27,20.13,0.57,5.06,2.5,78,8.25,42.75,42.19,4.83,Sinuous,Single,Plane-Bed,cobble-gravel ,CV,NA,NA
CBW05583-128427,Entiat,1621,1,121.7244294,1,1.54,4.35,0.4,65.07,20.7,11,11.3,3.16,39.47,45.4,Meandering,Single,Pool-Riffle,gravel-sand,CV,688751,5316707
CBW05583-492715,Wenatchee,1735,1,33.54380426,1,1.07,10.35,0.42,41.5,6.96,47,2.3,34.86,39.5,8.3,Wandering,Transitional,Step-Pool,cobble-gravel,CV,670770,5310630
ENT00001-1BC7,Entiat,1783,0.756,0.616617851,1,1.02,30.71,0.75,4.12,NA,146.5,39.68,26.2,21.95,12.1,Straight,Single,Plane-Bed,boulder-cobble-gravel,UCV,705691,5282743
ENT00001-1F18,Entiat,1793,0.9165,23.84810611,1,1.03,32.875,0.785,3.665,0.6,171,38.585,32.085,12.135,9.175,Sinuous,Single,Plane-Bed,boulder-cobble,PCV,698169,5289815
ENT00001-3A5,Entiat,1846,0.205,33.81,1,1.41,35.01,0.81,5.91,10.415,47,2.335,16.705,49.115,30.615,Meandering,Single,Pool-Riffle,gravel-sand,UCV,692654,5304562
JDW00001-Meyers Camp C,John Day,1967,1,0.83,1,1.15,5.09,0.31,11.56,0.96,42,2.29,15.19,44.48,33.81,Sinuous,Single,Step-Pool,gravel-sand,PCV,721235,4943519
JDW00001-Lower Owens C,John Day,1971,1,1.450939555,1.66,1.185,14.325,0.22,39.6,NA,7.5,0.34,1.33,5.53,80.39,Anabranching,Multi,Pool-Riffle,sand,UCV,722275,4941391
CBW05583-108010,Upper Grande Ronde,2014,1,43.91475041,1,1.395,6.505,0.285,16.955,12.2,26,0.545,25.545,51.755,17.15,Meandering,Single,Pool-Riffle,cobble-gravel,UCV,NA,NA
CBW05583-235322,Upper Grande Ronde,2019,0.8,13.097752,1.4,1.24,15.04,0.4,12.64,7.01,55,5.28,29.72,39.44,10.86,Wandering,Transitional,Pool-Riffle,cobble-gravel ,PCV,NA,NA
CBW05583-280042,Upper Grande Ronde,2021,0.6075,27.14157185,1,1.09,7.07,0.42,10.075,0.56,48.5,2.15,30.465,42.925,23.58,Sinuous,Single,Pool-Riffle,cobble-gravel ,UCV,NA,NA
dsgn4-000202,Upper Grande Ronde,2026,0.676,6.51,1.32,1.13,15.02,0.38,7.69,1.045,63,3.51,36.66,39.22,10.73,Wandering,Transitional,Pool-Riffle,cobble-gravel ,PCV,NA,NA
dsgn4-000245,Upper Grande Ronde,2027,0.49,2.054179978,1,1.745,23.525,0.44,8.86,0.1,83,8.195,41.66,32.315,10.32,Wandering,Transitional,Plane-Bed,cobble-gravel ,PCV,NA,NA
dsgn4-000277,Upper Grande Ronde,2028,1,7.41147406,1,1.05,15.87,0.41,6.35,0.23,68,9.42,34.56,39.36,12.3,Sinuous,Single,Plane-Bed,cobble-gravel ,PCV,NA,NA
CBW05583-045010,South Fork Salmon,2051,1,145.6117775,1.125,1.09,7.775,0.46,54.86,23.72,19.5,0.315,11.485,60.095,20.32,Wandering,Transitional,Step-Pool,gravel-sand,UCV,591133,5015244
CBW05583-181535,South Fork Salmon,2056,1,32.4000676,1,1.025,16.925,0.785,17.595,NA,131.5,24.535,28.92,25.265,9.24,Straight,Single,Plane-Bed,boulder-cobble-sand,CV,597497,4990599
CBW05583-241618,South Fork Salmon,2060,1,15.025,1,1.08,18.675,0.715,10.66,0.45,102,29.745,33.37,30.46,5.06,Sinuous,Single,Plane-Bed,boulder-cobble-sand,PCV,590019,5013154
CBW05583-317074,South Fork Salmon,2061,0.342,97.52778408,1.22,1.52,11.11,0.61,39.43,23.52,20,0,8.94,46.8,43.96,Wandering,Transitional,Pool-Riffle,gravel-sand,UCV,584393,5013154
CBW05583-404767,South Fork Salmon,2065,2,23.80672412,1,1.02,14.135,0.55,10.13,0.6,134,30.56,32.495,21.705,5.81,Straight,Single,Plane-Bed,boulder-cobble-gravel,PCV,594981,4991428
CBW05583-514458,Upper Grande Ronde,2133,1,15.44679501,1,1.525,3.89,0.26,24.33,7.6,38,0.14,27.175,45.105,22.105,Meandering,Single,Pool-Riffle,cobble-gravel-sand,PCV,NA,NA
dsgn4-000213,Upper Grande Ronde,2140,0.5505,1.826586726,2.37,1.2,26.5,0.345,25.685,8.56,43,0.4,20.94,44.065,18.84,Anabranching,Multi,Pool-Riffle,cobble-gravel-sand,UCV,NA,NA
dsgn4-000092,Upper Grande Ronde,2141,1,13.45595049,1,1.06,6.495,0.23,20.935,0.53,48,10.87,29.1,37.625,7.135,Straight,Single,Plane-Bed,cobble-gravel,PCV,NA,NA
dsgn4-000161,Upper Grande Ronde,2145,5,9.851739025,1,1.06,7.21,0.43,14.29,1.99,62.5,28.335,26.355,23.975,21.39,Sinuous,Single,Rapid,boulder-cobble-gravel-sand,CV,NA,NA
MNM00001-000444,Minam,2153,1,4.43,1,1.08,22.65,0.72,10.63,NA,175,22.12,56.1,15.06,6.32,Sinuous,Single,Plane-Bed,boulder-cobble,CV,458174,5012856
YFI00001-000436,Yankee Fork,2205,1,0.82,1,1.26,4.79,0.26,7.07,21.33,39,4.77,32.43,57.82,3.38,Sinuous,Single,Plane-Bed,cobble-gravel,UCV,NA,NA
CBW05583-010495,Tucannon,2262,1,33.78034744,1.06,1.21,15.225,0.46,12.23,3.55,70.5,0.84,39.69,50.38,5.13,Meandering,Single,Pool-Riffle,cobble-gravel,PCV,NA,NA
CBW05583-248063,Tucannon,2265,1,23.29138566,1,1.08,16.72,0.46,12.95,1.11,63,8.31,41.58,61.14,6.19,Wandering,Transitional,Plane-Bed,cobble-gravel ,PCV,NA,NA
CBW05583-353711,Lemhi,2271,7,0.81,1.39,1.18,5.68,0.16,28.6,33.35,30,6.85,17.82,54.35,8.56,Anabranching,Multi,Cascade,cobble-gravel ,CV,NA,NA
MTC00001-000382,John Day,2288,0.435,5.9,1,1.4,6.04,0.225,86.18,NA,0.02,0,0,0.855,97.16,Wandering,Transitional,Pool-Riffle,sand,UCV,267987,4934559
WC503432-000029,Wenatchee,2338,2,21.5,1,1.1,4.49,0.3,21.84,2.42,24,17.21,21.6,32.21,28.85,Sinuous,Single,Pool-Riffle,cobble-gravel-sand,CV,680750,5251198
CBW05583-423282,John Day,2435,1,4.13,1,1.28,6.39,0.26,32.86,NA,42,4.92,18.33,62.26,12.58,Sinuous,Single,Plane-Bed,gravel,PCV,312414,4905337
ENT201301-Tyee Side,Entiat,2441,0.318,16.31,1.61,1.15,11.14,0.27,24.82,1.38,31,0.16,7.82,43.27,41.3,Wandering,Transitional,Pool-Riffle,gravel-sand,UCV,692633,5304962
ENT00001-1BC1,Entiat,2447,0.524,56.135,1.93,1.18,34.995,0.64,14.915,4.87,94,13.48,35.55,34.25,17.655,Anabranching,Multi,Pool-Riffle,cobble-gravel ,PCV,707421,5282609
CBW05583-407211,Entiat,2458,6,35.99282551,1,1.12,3.755,0.255,20.98,4.05,19,11.13,17.425,39.375,21.53,Sinuous,Single,Step-Pool,cobble-gravel-sand,CV,693136,5299635
ENT00001-1BC15,Entiat,2459,0.989,16.925,1,1.01,24.02,0.645,13.74,1.175,154.5,39.205,29.87,19.735,9.865,Straight,Single,Plane-Bed,boulder-cobble-gravel,CV,703405,5283214
SFT00001-000023,Walla Walla,2484,2,31.8954992,1.615,1.18,18.12,0.24,40.29,4.565,52.5,2.705,20.705,38.23,11.955,Anabranching,Multi,Plane-Bed,cobble-gravel ,PCV,425000,5109453
ENT00001-1G16,Entiat,2499,1,13.42765442,1,1.04,23.65,0.835,5.78,0.57,131.5,49.615,29.735,9.88,12.375,Sinuous,Single,Plane-Bed,boulder-cobble,CV,696496,5294233
